country,region,date,retail,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
Romania,Sibiu,16/04/2020,-57,-16,-47,-59,-58,20
Romania,Suceava County,16/04/2020,-62,-31,-14,-59,-59,18
Romania,Teleorman County,16/04/2020,-29,4,42,-32,-41,12
Romania,Timiș County,16/04/2020,-56,-18,-51,-61,-60,22
Romania,Tulcea County,16/04/2020,-41,-15,-23,-37,-41,13
Romania,Vâlcea County,16/04/2020,-47,-4,-21,-45,-47,12
Romania,Vaslui County,16/04/2020,-51,-15,10,-39,-48,13
Romania,Vrancea County,16/04/2020,-46,-16,13,-45,-49,15
Rwanda,Total,16/04/2020,-61,-59,-15,-74,-58,30
Saudi Arabia,Total,16/04/2020,-73,-39,-69,-83,-62,33
Saudi Arabia,Al Bahah Province,16/04/2020,-41,-18,-40,,-48,
Saudi Arabia,Al Jowf,16/04/2020,-46,-25,-48,-68,-37,19
Saudi Arabia,Al Madinah Province,16/04/2020,-78,-50,-73,-89,-65,33
Saudi Arabia,Al Qassim,16/04/2020,-54,-28,-62,-69,-43,24
Saudi Arabia,Aseer Province,16/04/2020,-45,-18,-46,-74,-40,21
Saudi Arabia,Eastern Province,16/04/2020,-73,-37,-61,-83,-55,34
Saudi Arabia,Hail Province,16/04/2020,-49,-28,-64,-65,-36,19
Saudi Arabia,Jazan,16/04/2020,-57,-33,-66,-56,-40,21
Saudi Arabia,Makkah Province,16/04/2020,-79,-44,-78,-83,-66,33
Saudi Arabia,Najran,16/04/2020,-40,-16,-51,,-34,17
Saudi Arabia,Northern Borders Province,16/04/2020,-45,-20,,,-34,
Saudi Arabia,Riyadh Province,16/04/2020,-79,-40,-74,-89,-71,38
Saudi Arabia,Tabuk Province,16/04/2020,-70,-37,-53,-45,-51,27
Sweden,Total,16/04/2020,-19,-3,50,-37,-31,11
Sweden,Blekinge County,16/04/2020,-3,-2,,-18,-27,8
Sweden,Dalarna County,16/04/2020,-27,-11,15,-31,-33,10
Sweden,Gavleborg County,16/04/2020,-14,-4,24,-32,-33,10
Sweden,Gotland County,16/04/2020,,-6,,-27,-15,6
Sweden,Halland County,16/04/2020,-7,-3,,-23,-21,9
Sweden,Jamtland County,16/04/2020,-27,-16,8,-45,-37,11
Sweden,Jonkoping County,16/04/2020,-12,-3,45,-24,-20,8
Sweden,Kalmar County,16/04/2020,-2,1,,-22,-33,9
Sweden,Kronoberg County,16/04/2020,-16,-3,,-30,-23,9
Sweden,Norrbotten County,16/04/2020,-17,-7,96,-33,-34,9
Sweden,Örebro County,16/04/2020,-12,-3,,-31,-23,9
Sweden,Östergötland County,16/04/2020,-13,-6,85,-31,-24,10
Sweden,Skåne County,16/04/2020,-13,-2,73,-38,-25,10
Sweden,Södermanland County,16/04/2020,-11,-3,,-37,-27,10
Sweden,Stockholm County,16/04/2020,-27,-6,11,-47,-41,16
Sweden,Uppsala County,16/04/2020,-18,1,58,-39,-28,13
Sweden,Varmland County,16/04/2020,-15,-3,30,-24,-31,10
Sweden,Västerbotten County,16/04/2020,-14,-4,55,-39,-39,11
Sweden,Västernorrland County,16/04/2020,-13,-2,,-33,-35,11
Sweden,Västmanland County,16/04/2020,-14,-1,,-31,-27,10
Sweden,Västra Götaland County,16/04/2020,-17,0,92,-33,-28,11
Singapore,Total,16/04/2020,-61,-19,-52,-66,-66,42
Slovenia,Total,16/04/2020,-68,-35,-13,-55,-51,21
Slovenia,Administrative unit Maribor,16/04/2020,-69,-42,-18,-67,-51,20
Slovenia,Ajdovščina,16/04/2020,,,,,-46,
Slovenia,Brežice,16/04/2020,,,,,-50,
Slovenia,Celje,16/04/2020,-69,-41,,-36,-50,
Slovenia,Cerknica,16/04/2020,,,,,-49,
Slovenia,Črnomelj,16/04/2020,,,,,-41,
Slovenia,Domžale,16/04/2020,-70,-24,,-51,-54,
Slovenia,Dravograd,16/04/2020,,,,,-47,
Slovenia,Gornja Radgona,16/04/2020,,,,,-42,
Slovenia,Grosuplje,16/04/2020,,,,,-56,
Slovenia,Idrija,16/04/2020,,,,,-59,
Slovenia,Ilirska Bistrica,16/04/2020,,,,,-52,
Slovenia,Izola,16/04/2020,,,,,-55,
Slovenia,Jesenice,16/04/2020,,,,-53,-45,
Slovenia,Kamnik,16/04/2020,,,,,-52,
Slovenia,Kočevje,16/04/2020,,,,,-42,
Slovenia,Koper,16/04/2020,-68,-34,,-50,-54,
Slovenia,Kranj,16/04/2020,-69,-31,,-66,-52,23
Slovenia,Krško,16/04/2020,,,,,-48,
Slovenia,Laško,16/04/2020,,,,,-45,
Slovenia,Lenart,16/04/2020,,,,,-53,
Slovenia,Lendava,16/04/2020,,,,,-48,
Slovenia,Litija,16/04/2020,,,,,-51,
Slovenia,Ljubljana,16/04/2020,-73,-40,-29,-67,-59,25
Slovenia,Ljutomer,16/04/2020,,,,,-47,
Slovenia,Logatec,16/04/2020,,,,,-52,
Slovenia,Mozirje,16/04/2020,,,,,-47,
Slovenia,Municipality of Hrastnik,16/04/2020,,,,,-44,
Slovenia,Murska Sobota,16/04/2020,-71,,,-38,-49,
Slovenia,Nova Gorica,16/04/2020,-72,-41,,-55,-51,
Slovenia,Novo Mesto,16/04/2020,-70,-31,,,-47,
Slovenia,Ormož,16/04/2020,,,,,-47,
Slovenia,Pesnica,16/04/2020,,,,,-50,
Slovenia,Piran,16/04/2020,,,,,-52,
Slovenia,Postojna,16/04/2020,,,,,-50,
Slovenia,Ptuj,16/04/2020,-70,-33,,-44,-46,
Slovenia,Radlje ob Dravi,16/04/2020,,,,,-47,
Slovenia,Radovljica,16/04/2020,,,-41,-52,-53,
Slovenia,Ravne na Koroškem,16/04/2020,,,,,-41,
Slovenia,Ribnica,16/04/2020,,,,,-49,
Slovenia,Ruše,16/04/2020,,,,,-47,
Slovenia,Šentjur,16/04/2020,,,,,-45,
Slovenia,Sevnica,16/04/2020,,,,,-47,
Slovenia,Sežana,16/04/2020,,,,,-55,
Slovenia,Škofja Loka,16/04/2020,,,,,-50,
Slovenia,Slovenj Gradec,16/04/2020,,,,,-50,
Slovenia,Slovenska Bistrica,16/04/2020,,,,,-44,
Slovenia,Slovenske Konjice,16/04/2020,,,,,-43,
Slovenia,Šmarje pri Jelšah,16/04/2020,,,,,-48,
Slovenia,Tolmin,16/04/2020,,,,,-52,
Slovenia,Trbovlje,16/04/2020,,,,,-45,
Slovenia,Trebnje,16/04/2020,,,,,-49,
Slovenia,Tržič,16/04/2020,,,,,-49,
Slovenia,Velenje,16/04/2020,,-36,,-44,-44,
Slovenia,Vrhnika,16/04/2020,,,,,-58,
Slovenia,Zagorje ob Savi,16/04/2020,,,,,-51,
Slovenia,Žalec,16/04/2020,,-36,,,-48,
Slovakia,Total,16/04/2020,-61,-13,28,-50,-45,16
Slovakia,Banská Bystrica Region,16/04/2020,-66,-13,34,-41,-40,13
Slovakia,Bratislava Region,16/04/2020,-64,-19,46,-58,-56,23
Slovakia,Košice Region,16/04/2020,-63,-14,,-48,-45,15
Slovakia,Nitra Region,16/04/2020,-57,-12,39,-43,-40,16
Slovakia,Prešov Region,16/04/2020,-63,-14,-26,-47,-42,14
Slovakia,Trenčín Region,16/04/2020,-55,-11,52,-44,-39,14
Slovakia,Trnava Region,16/04/2020,-56,-3,80,-44,-42,17
Slovakia,Žilina Region,16/04/2020,-63,-13,10,-49,-42,14
Senegal,Total,16/04/2020,-40,-29,-27,-48,-33,19
El Salvador,Total,16/04/2020,-70,-44,-63,-67,-65,33
Togo,Total,16/04/2020,-31,-19,-12,-35,-21,20
Thailand,Total,16/04/2020,-46,-19,-44,-60,-33,19
Tajikistan,Total,16/04/2020,-3,-5,-5,-14,13,-2
Turkey,Total,16/04/2020,-56,-3,-35,-58,-47,21
Trinidad and Tobago,Total,16/04/2020,-63,-25,-54,-74,-63,28
Taiwan,Total,16/04/2020,-11,-1,-5,-20,7,0
Tanzania,Total,16/04/2020,-20,-5,-11,-15,-19,9
Uganda,Total,16/04/2020,-66,-53,-22,-70,-57,30
Uruguay,Total,16/04/2020,-53,-28,-65,-49,-34,18
Uruguay,Artigas Department,16/04/2020,,,-48,,-15,
Uruguay,Canelones Department,16/04/2020,-48,-28,-59,-53,-33,18
Uruguay,Cerro Largo Department,16/04/2020,-45,,-61,-38,-15,12
Uruguay,Colonia Department,16/04/2020,-54,-26,-70,-65,-27,17
Uruguay,Durazno Department,16/04/2020,,-24,-45,,-9,
Uruguay,Flores Department,16/04/2020,,,-51,,-17,
Uruguay,Florida Department,16/04/2020,,-20,-66,-39,-18,
Uruguay,Lavalleja Department,16/04/2020,,-13,-65,-55,-22,
Uruguay,Maldonado Department,16/04/2020,-75,-46,-85,-73,-48,21
Uruguay,Montevideo Department,16/04/2020,-51,-24,-59,-41,-40,21
Uruguay,Paysandú Department,16/04/2020,-43,7,-60,-43,-20,13
Uruguay,Río Negro Department,16/04/2020,-41,-26,-59,-42,-24,
Uruguay,Rivera Department,16/04/2020,-54,-23,-50,-52,-24,14
Uruguay,Rocha Department,16/04/2020,-73,-62,-86,-77,-30,
Uruguay,Salto Department,16/04/2020,-42,-24,-56,,-19,13
Uruguay,San José Department,16/04/2020,-34,-20,-59,-36,-22,15
Uruguay,Soriano Department,16/04/2020,-38,,-58,,-20,13
Uruguay,Tacuarembó Department,16/04/2020,-36,-16,-60,-49,-13,13
Uruguay,Treinta y Tres Department,16/04/2020,,,-66,-47,-17,
Venezuela,Total,16/04/2020,-59,-34,-50,-60,-53,22
Vietnam,Total,16/04/2020,-54,-30,-34,-54,-16,13
Yemen,Total,16/04/2020,-8,1,-10,-16,-3,5
South Africa,Total,16/04/2020,-69,-38,-40,-79,-71,36
South Africa,Eastern Cape,16/04/2020,-71,-37,-14,-75,-67,32
South Africa,Free State,16/04/2020,-69,-33,-41,-58,-62,30
South Africa,Gauteng,16/04/2020,-69,-38,-59,-81,-75,40
South Africa,KwaZulu-Natal,16/04/2020,-67,-36,-20,-78,-67,32
South Africa,Limpopo,16/04/2020,-60,-40,-1,-64,-64,31
South Africa,Mpumalanga,16/04/2020,-62,-35,-19,-58,-60,31
South Africa,North West,16/04/2020,-67,-38,-19,-53,-64,32
South Africa,Northern Cape,16/04/2020,-63,-33,-23,-72,-59,29
South Africa,Western Cape,16/04/2020,-75,-42,-75,-84,-75,37
Zambia,Total,16/04/2020,-18,-10,-6,-23,-19,12
Zimbabwe,Total,16/04/2020,-62,-50,-48,-77,-64,42
